key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
nadušak,nadušak,breath,дыхание,"A brief inhalation or draught, usually an act of taking things in quickly or in one go.","Краткое вдыхание или глоток, обычно акт быстрого принятия чего-либо или за один раз.","Kratko udisanje ili gutljaj, obično čin brzog uzimanja ili sve odjednom.",Boca piva je bila popijena u jednom nadušku.,"uzdah, udisaj",noun,m,s,nadušak,naduška,nadušku,nadušak,naduškom,nadušku,nadušku,nadušci,nadušaka,nadušcima,naduške,nadušcima,nadušcima,nadušci,1738857531,560000000,1738857531,560000000
nagovestaj,nagovestaj,omen,предзнаменование,"A sign or indication of a future event, typically one that things will not go well.","Знак или предвестие будущего события, обычно о том, что дела пойдут не лучшим образом.","Znak ili naznaka budućeg događaja, obično da stvari neće ići kako treba.",Crni oblaci su nagovestaj oluje.,"predznak, znak, simptom",noun,m,s,nagoveštaj,nagoveštaja,nagoveštaju,nagoveštaj,nagoveštajem,nagoveštaju,nagoveštaju,nagoveštaji,nagoveštaja,nagoveštajima,nagoveštaje,nagoveštajima,nagoveštajima,nagoveštaji,1739821500,51000000,1739821500,51000000
nagovesttaj,nagovesttaj,hint,намёк,A suggestion or indication of something that is likely to happen.,"Указание или предположение о чем-то, что, вероятно, произойдет.",Predlog ili nagoveštaj nečega što će se verovatno dogoditi.,Dobio sam nagovesttaj da će projekat biti odložen.,"znak, naznaka, naslućivanje",noun,m,s,nagovesttaj,nagovesttaja,nagovesttaju,nagovesttaj,nagovesttajem,nagovesttaju,nagovesttaju,nagovesttaji,nagovesttaja,nagovesttajima,nagovesttaje,nagovesttajima,nagovesttajima,nagovesttaji,1739821474,993000000,1739821474,993000000
nagovoriti,nagovoriti,to persuade,убеждать,To convince someone to do something through reasoning or argument.,Убедить кого-то сделать что-то с помощью доводов или аргументов.,Ubediti nekoga da nešto učini koristeći logiku i argumentaciju.,Pokušao sam da ga nagovorim da pođe sa nama.,"ubeđivati, motivisati, nagovarati",verb,,,,,,,,,,,,,,,,,1736796117,924000000,1736796117,924000000
nalaziti,,to find,находить,To locate or discover something or someone.,обнаруживать что-либо или кого-либо.,"otkriti, locirati nešto ili nekoga",On je obično mogao nalaziti stvari koje su drugi izgubili.,"pronalaziti, otkriti, locirati",,,,,,,,,,,,,,,,,,1734464555,251000000,1734464555,251000000
nalažem vam,nalažem vam,I order you,я приказываю вам,The phrase represents a command or instruction given from one person to another.,"Фраза выражает команду или указание, данное одним человеком другому.",Ova fraza označava zapovest ili instrukciju koja se daje od jedne osobe drugoj.,Nalažem vam da završite zadatak do sutra.,"zapovedam vam, dajem vam nalog, naređujem vam",verb,,,,,,,,,,,,,,,,,1738003822,732000000,1738003822,732000000
naposletku,naposletku,finally,наконец,"Eventually, or at the end of a sequence of events.",В конце концов или после последовательности событий.,Na kraju ili nakon sled događaja.,"Naposletku, odluka je donesena zajedničkim dogovorom.","konačno, na kraju, ultimativno",adjective,m,s,naposletku,naposletka,naposletku,naposletku,naposletkom,naposletku,naposletče,naposletci,naposletaka,naposletcima,naposletke,naposletcima,naposletcima,naposletci,1739813105,212000000,1739813105,212000000
narediti,narediti,to order,приказать,To give a command or instruction to someone.,Выдать приказ или указание кому-то.,Dati zapovest ili uputstvo nekome.,On je naredio vojsci da se povuče.,"zapovediti, odrediti, propisati, komandovati",verb,,,,,,,,,,,,,,,,,1738266997,818000000,1738266997,818000000
naslon,,support,поддержка,"An object or structure that provides support or rest for something else, often used for leaning against or supporting.","предмет или конструкция, обеспечивающая опору или поддержку, часто используется, чтобы на него опираться.","objekat ili struktura koja služi kao potpora ili oslonac, često se koristi za naslanjanje.",Stolica ima udoban naslon.,"potpora, oslonac, pridržavanje",,,,,,,,,,,,,,,,,,1733861907,770000000,1733861907,770000000
naspram,,opposite to,напротив,"Used to indicate contrast or opposition, similar to 'opposite to'.","Используется для указания контраста или противоположности, аналогично 'напротив'.","Koristi se za označavanje kontrasta ili suprotnosti, slično kao 'naspram'.",Kuća je naspram parka.,"suprotno, nasuprot, preko puta",,,,,,,,,,,,,,,,,,,,,
nastaniti se,nastaniti se,to settle,поселиться,To establish a residence or start living in a new place.,Основать жильё или начать жить в новом месте.,Započeti život ili stanovanje na novom mestu.,"Nakon dugog putovanja, odlučili su da se nastane u Beogradu.","smestiti se, locirati se",verb,,,,,,,,,,,,,,,,,1740413036,484000000,1740413036,484000000
nastupati,,to perform,выступать,"To appear or perform publicly, usually in a formal setting such as a concert or play.","публично выступать или участвовать в представлении, концерте и т.д.","Izvoditi javno, obično u formalnom okruženju kao što je koncert ili predstava.",Pevač će nastupati večeras na koncertu.,"izvoditi, predstavljati, prikazivati",,,,,,,,,,,,,,,,,,,,,
nasukan,nasukan,stranded,на мели,"Unable to move from its current position, especially when referring to ships that have run aground.","Неспособность переместиться с текущей позиции, особенно в отношении судов, севших на мель.","Nesposoban da se pomeri sa trenutne pozicije, naročito kada se odnosi na brodove koji su se nasukali.",Brod je bio nasukan na obalu nakon oluje.,"zaglavljen, blokiran",adjective,m,s,nasukan,nasukanog,nasukanom,nasukan,nasukanim,nasukanom,nasukani,nasukani,nasukanih,nasukanim,nasukane,nasukanim,nasukanim,nasukani,1740485776,540000000,1740485776,540000000
navijati,,to cheer,болеть,"To show support or enthusiasm, typically at a sports event.","выражать поддержку или энтузиазм, особенно на спортивном мероприятии.","izražavati podršku ili entuzijazam, obično na sportskom događaju.",Navijam za svoj omiljeni tim!,"podržavati, skandirati, ohrabrivati",,,,,,,,,,,,,,,,,,,,,
navijaćenje,,cheering,боление,The act of supporting a sports team by cheering and celebrating.,действие поддержки спортивной команды через радостные крики и празднование.,čin podrške sportskoj ekipi navijanjem i slavljem.,Navijanje za omiljeni tim je bilo glasno i žarko.,"skandiranje, podržavanje, vigorousno navijanje",,,,,,,,,,,,,,,,,,,,,
navika,,habit,привычка,"A regular tendency or practice, especially one that is hard to give up.","Регулярная склонность или практика, особенно та, от которой трудно избавиться.","Redovna sklonost ili praksa, posebno ona koje je teško odustati.",Pušenje je loša navika.,"običaj, praksa, rutina",,,,,,,,,,,,,,,,,,,,,
naždrekati,,to get drunk,напиться,To consume an excessive amount of alcohol leading to drunkenness.,"потреблять чрезмерное количество алкоголя, вплоть до опьянения.",Konzumirati prekomernu količinu alkohola koja dovodi do pijanstva.,On se sinoć naždrekao u kafani.,"napiti se, opiti se, pijanstvovati",,,,,,,,,,,,,,,,,,1731863177,637000000,1731863177,637000000
nedostatak,nedostatak,lack,недостаток,A state of not having enough of something necessary or desired.,Состояние нехватки чего-либо необходимого или желаемого.,Stanje nedostatka nečega što je neophodno ili željeno.,Nedostatak resursa predstavlja veliki izazov za tim.,"manjak, oskudica, deficit",noun,m,s,nedostatak,nedostatka,nedostatku,nedostatak,nedostatkom,nedostatku,nedostatče,nedostaci,nedostataka,nedostacima,nedostatke,nedostacima,nedostacima,nedostatci,1737052744,460000000,1737052744,460000000
nego,nego,but,но,A coordinating conjunction used to indicate contrast or exception.,"Координирующее союзное слово, используемое для указания на контраст или исключение.",Svez koji se koristi za izražavanje kontrasta ili suprotnosti.,"Mislim da je tamo lepše, nego ovde.","ali, međutim",other,,,,,,,,,,,,,,,,,1738004211,709000000,1738004211,709000000
nego i zbog,nego i zbog,but because of,но из-за,"A conjunction used to denote contrast or comparison, often used with 'zbog' indicating a reason or cause.","Союз, используемый для обозначения контрастов или сравнения, часто используется с 'због', указывающим причину или основание.","Veznik koji se koristi za označavanje kontrasta ili poređenja, često u kombinaciji sa 'zbog' za označavanje razloga ili uzroka.","Nisam došao zbog tebe, nego i zbog toga što me nije bilo briga.",,other,,,,,,,,,,,,,,,,,1738004201,238000000,1738004201,238000000
negovatelj,negovatelj,caregiver,сиделка,"A person whose job is to assist individuals who need help due to things like illness, disability, or aging.","Человек, который помогает людям, нуждающимся в помощи из-за болезней, инвалидности или старости.","Osoba čiji je posao da pomaže ljudima koji trebaju pomoć zbog bolesti, invaliditeta ili starosti.",Negovatelj svakodnevno pomaže starijim osobama u staračkom domu.,"staratelj, pomoćnik",noun,m,s,negovatelj,negovatelja,negovatelju,negovatelja,negovateljem,negovatelju,negovatelju,negovatelji,negovatelja,negovateljima,negovatelje,negovateljima,negovateljima,negovatelji,1739519550,889000000,1739519550,889000000
